semester,crn,subject,code,section,kind,days,start,end,start_date,end_date,total_space,taken_space
202230,30015,ACSE,4101,A,LEC,T,1805,2055,2022-09-07,2022-12-09,80,21
202230,30016,ACSE,4101,A1E,TUT,F,0835,1125,2022-09-19,2022-12-09,80,21
202310,10014,AERO,2001,C,LEC,TR,1435,1525,2023-01-09,2023-04-12,35,35
202230,30018,AERO,2001,L1,LAB,WF,1135,1325,2022-09-07,2022-12-09,70,58
202310,10015,AERO,2001,L1,LAB,TR,1135,1325,2023-01-09,2023-04-12,70,63
202310,10013,AERO,2001,B,LEC,WF,1335,1425,2023-01-09,2023-04-12,35,28
202230,30017,AERO,2001,A,LEC,TR,1135,1225,2022-09-07,2022-12-09,70,58
202310,10019,AERO,3002,L3,LAB,F,1435,1725,2023-01-09,2023-04-12,40,22
202310,10018,AERO,3002,L2,LAB,F,0835,1125,2023-01-09,2023-04-12,40,33
202310,10017,AERO,3002,L1,LAB,M,1435,1725,2023-01-09,2023-04-12,40,40
202310,10016,AERO,3002,A,LEC,TR,1435,1555,2023-01-09,2023-04-12,120,95
202310,10020,AERO,3101,A,LEC,TR,1005,1125,2023-01-09,2023-04-12,30,27
202310,10021,AERO,3101,A1,TUT,M,1605,1725,2023-01-09,2023-04-12,30,27
202230,30020,AERO,3240,A1,TUT,W,1335,1425,2022-09-07,2022-12-09,45,43
202230,30019,AERO,3240,A,LEC,WF,1435,1555,2022-09-07,2022-12-09,45,43
202230,30022,AERO,3700,A1,TUT,T,1335,1425,2022-09-07,2022-12-09,75,62
202230,30021,AERO,3700,A,LEC,TR,1005,1125,2022-09-07,2022-12-09,75,62
202310,10024,AERO,3841,L2,LAB,F,0835,1125,2023-01-09,2023-04-12,20,11
202310,10022,AERO,3841,A,LEC,WF,1435,1555,2023-01-09,2023-04-12,40,31
202310,10023,AERO,3841,L1,LAB,W,0835,1125,2023-01-09,2023-04-12,20,20
202230,30023,AERO,4003,A,LEC,TR,1005,1125,2022-09-07,2022-12-09,80,55
202230,30024,AERO,4003,L1,LAB,R,1435,1725,2022-09-07,2022-12-09,40,27
202230,30025,AERO,4003,L2,LAB,T,1435,1725,2022-09-07,2022-12-09,40,28
202310,10025,AERO,4009,A,LEC,T,1805,2055,2023-01-09,2023-04-12,45,26
202230,30026,AERO,4302,A,LEC,TR,0835,0955,2022-09-07,2022-12-09,45,34
202230,30027,AERO,4302,L1,PAN,W,0835,1025,2022-09-07,2022-12-09,45,34
202310,10026,AERO,4304,A,LEC,TR,0835,0955,2023-01-09,2023-04-12,45,13
202230,30028,AERO,4306,A,LEC,MW,1435,1555,2022-09-07,2022-12-09,45,36
202310,10027,AERO,4308,A,LEC,TR,1305,1425,2023-01-09,2023-04-12,45,45
202230,35949,AERO,4402,A,LEC,M,1805,2055,2022-09-07,2022-12-09,40,30
202310,10028,AERO,4402,A,LEC,,,,,,0,0
202310,10029,AERO,4442,A,LEC,TR,1605,1725,2023-01-09,2023-04-12,45,27
202230,30029,AERO,4446,A,LEC,MW,1435,1555,2022-09-07,2022-12-09,45,27
202310,10030,AERO,4504,A,LEC,TR,1605,1725,2023-01-09,2023-04-12,45,25
202230,30030,AERO,4540,A,LEC,MW,1605,1725,2022-09-07,2022-12-09,45,27
202310,10031,AERO,4602,A,LEC,TR,0835,0955,2023-01-09,2023-04-12,45,32
202230,30031,AERO,4608,A,LEC,WF,1135,1255,2022-09-07,2022-12-09,45,44
202230,30032,AERO,4842,A,LEC,TR,1135,1255,2022-09-07,2022-12-09,45,34
202230,30038,AFRI,1001,A05,GRP,F,1335,1425,2022-09-07,2022-12-09,25,1
202230,30039,AFRI,1001,A06,GRP,F,1435,1525,2022-09-07,2022-12-09,25,1
202230,30033,AFRI,1001,A,LEC,F,1135,1325,2022-09-07,2022-12-09,150,78
202230,30034,AFRI,1001,A01,GRP,F,1335,1425,2022-09-07,2022-12-09,25,25
202230,30035,AFRI,1001,A02,GRP,F,1435,1525,2022-09-07,2022-12-09,25,25
202230,30036,AFRI,1001,A03,GRP,F,1335,1425,2022-09-07,2022-12-09,25,24
202230,30037,AFRI,1001,A04,GRP,F,1435,1525,2022-09-07,2022-12-09,25,2
202310,10032,AFRI,1002,A,LEC,F,1435,1625,2023-01-09,2023-04-12,150,41
202310,10033,AFRI,1002,A01,GRP,F,1635,1725,2023-01-09,2023-04-12,25,24
202310,10034,AFRI,1002,A02,GRP,F,1735,1825,2023-01-09,2023-04-12,25,9
